City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
285,Omsukchan,RU,20.69,scattered clouds,62.5333,155.8,Zori
288,Kokopo,PG,29.28,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
289,Mangrol,IN,26.86,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
291,Padang,ID,24.03,overcast clouds,-0.9492,100.3543,Mercure Padang
293,Noumea,NC,22.99,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
294,Kloulklubed,PW,26.28,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
295,Maceio,BR,21.69,few clouds,-9.6658,-35.7353,Poutur Pousada
297,Atyrau,KZ,23.01,clear sky,47.1167,51.8833,River Palace Hotel
298,Hay River,CA,24.99,broken clouds,60.8156,-115.7999,Ptarmigan Inn
299,Balkanabat,TM,28.39,clear sky,39.5108,54.3671,Nebitchi Hotel
